Age,ECC,ECC_413k_notched_out,OMEGA,OBL,Prec,EXI,ETP,EXI_WM
0,0.01724,0.00418,101.37,23.446,0.017,426.76,-1.5009,450.9
1,0.01764,0.03881,84.26,23.573,0.018,430.12,-1.3004,453.76
2,0.01802,0.07074,67.23,23.697,0.017,434.69,-1.032,457.91
3,0.01838,0.09997,50.3,23.815,0.014,440.2,-0.7105,463.07
4,0.0187,0.1264,33.45,23.923,0.01,446.28,-0.3447,468.86
5,0.01899,0.14985,16.68,24.019,0.005,452.48,0.0404,474.83
6,0.01925,0.1703,359.99,24.1,0,458.31,0.4277,480.49
7,0.01948,0.18776,343.37,24.163,-0.006,463.29,0.7893,485.35
8,0.01967,0.20213,326.82,24.206,-0.011,467,1.1019,488.97
9,0.01984,0.21352,310.32,24.229,-0.015,469.12,1.3382,491.06
10,0.01997,0.22162,293.86,24.229,-0.018,469.44,1.4846,491.39
11,0.02007,0.22663,277.45,24.207,-0.02,467.92,1.5253,489.94
12,0.02014,0.22857,261.07,24.161,-0.02,464.67,1.4573,486.8
13,0.02018,0.22731,244.71,24.093,-0.018,459.95,1.2751,482.24
14,0.02018,0.22278,228.37,24.004,-0.015,454.12,0.9943,476.63
15,0.02015,0.21535,212.04,23.895,-0.011,447.62,0.6255,470.42
16,0.0201,0.20474,195.71,23.769,-0.005,440.92,0.1906,464.08
17,0.02001,0.19104,179.38,23.627,0,434.5,-0.2877,458.08
18,0.0199,0.17445,163.04,23.475,0.006,428.77,-0.7812,452.86
19,0.01976,0.15496,146.69,23.315,0.011,424.07,-1.2695,448.75
20,0.01959,0.13258,130.34,23.151,0.015,420.64,-1.7255,445.99
21,0.0194,0.1075,113.98,22.989,0.018,418.62,-2.133,444.7
22,0.01918,0.07981,97.61,22.832,0.019,418,-2.4688,444.88
23,0.01895,0.04952,81.26,22.685,0.019,418.7,-2.7233,446.39
24,0.01869,0.01691,64.91,22.553,0.017,420.51,-2.8828,449.05
25,0.01842,0.01791,48.6,22.439,0.014,423.19,-2.9482,452.51
26,0.01814,0.05486,32.33,22.348,0.01,426.41,-2.9223,456.45
27,0.01784,0.09364,16.13,22.282,0.005,429.86,-2.8214,460.5
28,0.01753,0.13406,0,22.244,0,433.2,-2.6617,464.3
29,0.01722,0.17593,343.99,22.235,-0.005,436.19,-2.4682,467.56
30,0.0169,0.21895,328.11,22.255,-0.009,438.63,-2.2595,470.04
31,0.01658,0.26294,312.37,22.305,-0.012,440.38,-2.0535,471.64
32,0.01627,0.30751,296.8,22.382,-0.015,441.42,-1.8597,472.32
33,0.01597,0.35237,281.42,22.485,-0.016,441.79,-1.6859,472.15
34,0.01567,0.39723,266.24,22.61,-0.016,441.59,-1.5303,471.22
35,0.01539,0.44151,251.28,22.754,-0.015,440.95,-1.3871,469.73
36,0.01513,0.48492,236.54,22.913,-0.013,440.04,-1.2516,467.88
37,0.01489,0.52717,222.02,23.082,-0.01,439.02,-1.1127,465.86
38,0.01467,0.56759,207.73,23.257,-0.007,438.04,-0.9695,463.85
39,0.01449,0.60589,193.65,23.433,-0.003,437.22,-0.8196,462.02
40,0.01433,0.64139,179.77,23.605,0,436.66,-0.6768,460.49
41,0.01422,0.67361,166.06,23.769,0.003,436.42,-0.5446,459.33
42,0.01413,0.70226,152.51,23.922,0.007,436.54,-0.4383,458.64
43,0.01409,0.72686,139.09,24.059,0.009,437.05,-0.356,458.42
44,0.01409,0.74693,125.77,24.178,0.011,437.94,-0.297,458.7
45,0.01413,0.76217,112.5,24.277,0.013,439.21,-0.2485,459.49
46,0.01422,0.77249,99.27,24.353,0.014,440.82,-0.2054,460.76
47,0.01434,0.7778,86.04,24.405,0.014,442.75,-0.1541,462.48
48,0.0145,0.7778,72.79,24.433,0.014,444.95,-0.1002,464.63
