"Age","ECC","ECC_413k_notched_out","OMEGA","OBL","Prec","EXI","ETP"
0,"0.01724","0.00418","101.37",23446,17,"426.76","-1.5009"
1,"0.01764","0.03881","84.26",23573,18,"430.12","-1.3004"
2,"0.01802","0.07074","67.23",23697,17,"434.69","-1.0320"
3,"0.01838","0.09997","50.30",23815,14,"440.20","-0.7105"
4,"0.01870","0.12640","33.45",23923,10,"446.28","-0.3447"
5,"0.01899","0.14985","16.68",24019,5,"452.48","0.0404"
6,"0.01925","0.17030","359.99",24100,0,"458.31","0.4277"
7,"0.01948","0.18776","343.37",24163,-6,"463.29","0.7893"
8,"0.01967","0.20213","326.82",24206,-11,"467.00","1.1019"
9,"0.01984","0.21352","310.32",24229,-15,"469.12","1.3382"
10,"0.01997","0.22162","293.86",24229,-18,"469.44","1.4846"
11,"0.02007","0.22663","277.45",24207,-20,"467.92","1.5253"
12,"0.02014","0.22857","261.07",24161,-20,"464.67","1.4573"
13,"0.02018","0.22731","244.71",24093,-18,"459.95","1.2751"
14,"0.02018","0.22278","228.37",24004,-15,"454.12","0.9943"
15,"0.02015","0.21535","212.04",23895,-11,"447.62","0.6255"
16,"0.02010","0.20474","195.71",23769,-5,"440.92","0.1906"
17,"0.02001","0.19104","179.38",23627,0,"434.50","-0.2877"
18,"0.01990","0.17445","163.04",23475,6,"428.77","-0.7812"
19,"0.01976","0.15496","146.69",23315,11,"424.07","-1.2695"
20,"0.01959","0.13258","130.34",23151,15,"420.64","-1.7255"
21,"0.01940","0.10750","113.98",22989,18,"418.62","-2.1330"
22,"0.01918","0.07981","97.61",22832,19,"418.00","-2.4688"
23,"0.01895","0.04952","81.26",22685,19,"418.70","-2.7233"
24,"0.01869","0.01691","64.91",22553,17,"420.51","-2.8828"
25,"0.01842","0.01791","48.60",22439,14,"423.19","-2.9482"
26,"0.01814","0.05486","32.33",22348,10,"426.41","-2.9223"
27,"0.01784","0.09364","16.13",22282,5,"429.86","-2.8214"
28,"0.01753","0.13406","0.00",22244,0,"433.20","-2.6617"
29,"0.01722","0.17593","343.99",22235,-5,"436.19","-2.4682"
30,"0.01690","0.21895","328.11",22255,-9,"438.63","-2.2595"
31,"0.01658","0.26294","312.37",22305,-12,"440.38","-2.0535"
32,"0.01627","0.30751","296.80",22382,-15,"441.42","-1.8597"
33,"0.01597","0.35237","281.42",22485,-16,"441.79","-1.6859"
34,"0.01567","0.39723","266.24",22610,-16,"441.59","-1.5303"
35,"0.01539","0.44151","251.28",22754,-15,"440.95","-1.3871"
36,"0.01513","0.48492","236.54",22913,-13,"440.04","-1.2516"
37,"0.01489","0.52717","222.02",23082,-10,"439.02","-1.1127"
38,"0.01467","0.56759","207.73",23257,-7,"438.04","-0.9695"
39,"0.01449","0.60589","193.65",23433,-3,"437.22","-0.8196"
40,"0.01433","0.64139","179.77",23605,0,"436.66","-0.6768"
41,"0.01422","0.67361","166.06",23769,3,"436.42","-0.5446"
42,"0.01413","0.70226","152.51",23922,7,"436.54","-0.4383"
43,"0.01409","0.72686","139.09",24059,9,"437.05","-0.3560"
44,"0.01409","0.74693","125.77",24178,11,"437.94","-0.2970"
45,"0.01413","0.76217","112.50",24277,13,"439.21","-0.2485"
46,"0.01422","0.77249","99.27",24353,14,"440.82","-0.2054"
47,"0.01434","0.77780","86.04",24405,14,"442.75","-0.1541"
48,"0.01450","0.77780","72.79",24433,14,"444.95","-0.1002"
49,"0.01470","0.77288","59.47",24437,13,"447.35","-0.0381"
50,"0.01493","0.76285","46.07",24416,11,"449.88","0.0155"
51,"0.01520","0.74828","32.57",24371,8,"452.43","0.0633"
52,"0.01550","0.72928","18.95",24305,5,"454.87","0.0913"
53,"0.01582","0.70622","5.20",24218,1,"457.06","0.1050"
54,"0.01617","0.67950","351.31",24113,-2,"458.83","0.0995"
55,"0.01654","0.64950","337.27",23992,-6,"460.00","0.0847"
56,"0.01693","0.61650","323.07",23859,-10,"460.41","0.0562"
57,"0.01734","0.58110","308.72",23715,-14,"459.91","0.0157"
58,"0.01776","0.54338","294.21",23565,-16,"458.39","-0.0450"
59,"0.01820","0.50383","279.55",23411,-18,"455.80","-0.1338"
60,"0.01865","0.46273","264.74",23258,-19,"452.14","-0.2613"
61,"0.01910","0.42048","249.78",23108,-18,"447.51","-0.4298"
62,"0.01957","0.37707","234.69",22965,-16,"442.09","-0.6462"
63,"0.02004","0.33298","219.48",22831,-13,"436.12","-0.9073"
64,"0.02052","0.28822","204.14",22710,-8,"429.91","-1.2085"
65,"0.02101","0.24327","188.71",22603,-3,"423.84","-1.5341"
66,"0.02150","0.19793","173.17",22514,3,"418.27","-1.8699"
67,"0.02199","0.15258","157.56",22442,8,"413.57","-2.1942"
